id,imdb_id,original_language,original_title,release_date,title,video
862,tt0114709,en,Toy Story,1995-10-30,Toy Story,FALSE
8844,tt0113497,en,Jumanji,1995-12-15,Jumanji,FALSE
15602,tt0113228,en,Grumpier Old Men,1995-12-22,Grumpier Old Men,FALSE
31357,tt0114885,en,Waiting to Exhale,1995-12-22,Waiting to Exhale,FALSE
11862,tt0113041,en,Father of the Bride Part II,1995-02-10,Father of the Bride Part II,FALSE
949,tt0113277,en,Heat,1995-12-15,Heat,FALSE
11860,tt0114319,en,Sabrina,1995-12-15,Sabrina,FALSE
45325,tt0112302,en,Tom and Huck,1995-12-22,Tom and Huck,FALSE
9091,tt0114576,en,Sudden Death,1995-12-22,Sudden Death,FALSE
710,tt0113189,en,GoldenEye,1995-11-16,GoldenEye,FALSE
9087,tt0112346,en,The American President,1995-11-17,The American President,FALSE
12110,tt0112896,en,Dracula: Dead and Loving It,1995-12-22,Dracula: Dead and Loving It,FALSE
21032,tt0112453,en,Balto,1995-12-22,Balto,FALSE
10858,tt0113987,en,Nixon,1995-12-22,Nixon,FALSE
1408,tt0112760,en,Cutthroat Island,1995-12-22,Cutthroat Island,FALSE
524,tt0112641,en,Casino,1995-11-22,Casino,FALSE
4584,tt0114388,en,Sense and Sensibility,1995-12-13,Sense and Sensibility,FALSE
5,tt0113101,en,Four Rooms,1995-12-09,Four Rooms,FALSE
9273,tt0112281,en,Ace Ventura: When Nature Calls,1995-11-10,Ace Ventura: When Nature Calls,FALSE
11517,tt0113845,en,Money Train,1995-11-21,Money Train,FALSE
8012,tt0113161,en,Get Shorty,1995-10-20,Get Shorty,FALSE
1710,tt0112722,en,Copycat,1995-10-27,Copycat,FALSE
9691,tt0112401,en,Assassins,1995-10-06,Assassins,FALSE
12665,tt0114168,en,Powder,1995-10-27,Powder,FALSE
451,tt0113627,en,Leaving Las Vegas,1995-10-27,Leaving Las Vegas,FALSE
16420,tt0114057,en,Othello,1995-12-15,Othello,FALSE
9263,tt0114011,en,Now and Then,1995-10-20,Now and Then,FALSE
17015,tt0114117,en,Persuasion,1995-09-27,Persuasion,FALSE
902,tt0112682,fr,La Cité des Enfants Perdus,1995-05-16,The City of Lost Children,FALSE
37557,tt0115012,zh,摇啊摇，摇到外婆桥,1995-04-30,Shanghai Triad,FALSE
9909,tt0112792,en,Dangerous Minds,1995-08-11,Dangerous Minds,FALSE
63,tt0114746,en,Twelve Monkeys,1995-12-29,Twelve Monkeys,FALSE
78802,tt0114952,fr,"Guillaumet, les ailes du courage",1996-09-18,Wings of Courage,FALSE
9598,tt0112431,en,Babe,1995-07-18,Babe,FALSE
47018,tt0112637,en,Carrington,1995-11-08,Carrington,FALSE
687,tt0112818,en,Dead Man Walking,1995-12-29,Dead Man Walking,FALSE
139405,tt0112286,en,Across the Sea of Time,1995-10-20,Across the Sea of Time,FALSE
33689,tt0113442,en,It Takes Two,1995-11-17,It Takes Two,FALSE
9603,tt0112697,en,Clueless,1995-07-19,Clueless,FALSE
34615,tt0112749,en,"Cry, the Beloved Country",1995-12-15,"Cry, the Beloved Country",FALSE
31174,tt0114279,en,Richard III,1995-12-29,Richard III,FALSE
11443,tt0112819,en,Dead Presidents,1995-10-06,Dead Presidents,FALSE
35196,tt0114272,en,Restoration,1995-12-29,Restoration,FALSE
9312,tt0113855,en,Mortal Kombat,1995-08-18,Mortal Kombat,FALSE
577,tt0114681,en,To Die For,1995-05-20,To Die For,FALSE
11861,tt0113347,en,How To Make An American Quilt,1995-10-06,How To Make An American Quilt,FALSE
807,tt0114369,en,Se7en,1995-09-22,Se7en,FALSE
10530,tt0114148,en,Pocahontas,1995-06-14,Pocahontas,FALSE
8391,tt0114916,en,When Night Is Falling,1995-05-05,When Night Is Falling,FALSE
629,tt0114814,en,The Usual Suspects,1995-07-19,The Usual Suspects,FALSE
117164,tt0109950,en,Guardian Angel,1994-11-22,Guardian Angel,FALSE
11448,tt0113819,en,Mighty Aphrodite,1995-09-13,Mighty Aphrodite,FALSE
49133,tt0110299,it,Lamerica,1994-01-01,Lamerica,FALSE
26441,tt0112499,en,The Big Green,1995-09-29,The Big Green,FALSE
97406,tt0113158,en,Georgia,1995-05-19,Georgia,FALSE
124057,tt0113541,en,Kids of the Round Table,1997-07-08,Kids of the Round Table,FALSE
